Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-01-23,1.9414,1.9414,1.9414,1.9414,12.618790107323
2013-01-24,1.9414,1.9414,1.88134,1.92632,1329.561612217
2013-01-25,1.92632,1.92632,1.83636,1.83636,3736.3090345045
2013-01-28,1.85885,1.85885,1.79888,1.79888,533.43067271864
2013-01-29,1.79888,1.79888,1.79888,1.79888,267.28891772783
2013-01-30,1.79888,1.83636,1.79888,1.83636,360.20909942721
2013-01-31,1.82895,1.82895,1.82895,1.82895,219.1080827726
2013-02-01,1.82895,1.83636,1.82895,1.83636,1860.6979594616
2013-02-04,1.82895,1.82895,1.82895,1.82895,131.92371475837
2013-02-05,1.82895,1.82895,1.82895,1.82895,193.87050255796
2013-02-06,1.82895,1.82895,1.82145,1.82145,98.655995384522
2013-02-07,1.82145,1.82145,1.82145,1.82145,104.39180906967
2013-02-08,1.82145,1.82145,1.82145,1.82145,92.920181699375
2013-02-11,1.82145,1.82145,1.82145,1.82145,92.920181699375
2013-02-12,1.82145,1.82145,1.82145,1.82145,60.799625062554
2013-02-13,1.81387,1.82145,1.81387,1.82145,526.54769629646
2013-02-14,1.77639,1.81387,1.77639,1.81387,59.652462325525
2013-02-15,1.81387,1.81387,1.78397,1.79146,2169.2847357225
2013-02-18,1.81387,1.81387,1.81387,1.81387,26.384742951674
2013-02-19,1.81387,1.81387,1.81387,1.81387,899.37558583099
2013-02-20,1.81387,1.82145,1.81387,1.82145,145.68966760272
2013-02-21,1.82145,1.82145,1.82145,1.82145,66.535438747701
2013-02-22,1.81387,1.81387,1.81387,1.81387,41.297858533056
2013-02-25,1.81387,1.81387,1.81387,1.81387,80.301391592053
2013-02-26,1.81387,1.82145,1.75398,1.79888,4681.5711298167
2013-02-27,1.73141,1.81387,1.69401,1.79888,5525.8829042703
2013-02-28,1.79146,1.82145,1.64144,1.82145,6927.7157689201
2013-03-01,1.79888,1.85885,1.79888,1.85885,3491.9633715173
2013-03-04,1.81387,1.91133,1.81387,1.91133,733.03698896174
2013-03-05,1.91133,1.91133,1.85885,1.90383,1479.8399307678
2013-03-06,1.90383,1.90383,1.90383,1.90383,26.384742951674
2013-03-07,1.90383,1.90383,1.89633,1.89633,145.68966760272
2013-03-08,1.90383,1.90383,1.90383,1.90383,26.384742951674
2013-03-11,1.90383,1.90383,1.89633,1.90383,227.13822193181
2013-03-12,1.90383,1.90383,1.89633,1.90383,256.96445309457
2013-03-13,1.89633,1.91133,1.89633,1.91133,172.0744105544
2013-03-14,1.90383,1.90383,1.88134,1.88134,143.39534212867
2013-03-15,1.91133,1.91133,1.91133,1.91133,186.98752613578
2013-03-18,1.91133,1.91133,1.86635,1.91133,453.12928112658
2013-03-19,1.91133,1.91133,1.91133,1.91133,60.799625062554
2013-03-20,1.86635,1.90383,1.85885,1.87393,1977.7085586386
2013-03-21,1.87393,1.87393,1.87393,1.87393,66.535438747701
2013-03-22,1.79888,1.79888,1.79146,1.79146,2469.8413728241
2013-03-25,1.72391,1.79146,1.67152,1.709,2347.094959962
2013-03-26,1.709,1.709,1.709,1.709,12.618790107323
2013-03-28,1.71641,1.71641,1.71641,1.71641,88.331530751258
2013-04-02,1.71641,1.71641,1.71641,1.71641,60.799625062554
2013-04-03,1.71641,1.71641,1.71641,1.71641,73.418415169877
2013-04-04,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-05,1.71641,1.71641,1.71641,1.71641,41.297858533056
2013-04-08,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-09,1.71641,1.71641,1.71641,1.71641,53.916648640378
2013-04-10,1.71641,1.71641,1.71641,1.71641,41.297858533056
2013-04-11,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-12,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-15,1.71641,1.71641,1.71641,1.71641,35.562044847909
2013-04-17,1.71641,1.71641,1.71641,1.71641,47.033672218202
2013-04-18,1.72391,1.72391,1.72391,1.72391,26.384742951674
2013-04-19,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-22,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-23,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-24,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-25,1.72391,1.72391,1.71641,1.71641,41.297858533056
2013-04-26,1.71641,1.71641,1.71641,1.71641,41.297858533056
2013-04-29,1.71641,1.71641,1.71641,1.71641,32.120556636821
2013-04-30,1.71641,1.73141,1.71641,1.73141,908.55288772722
2013-05-02,1.74648,1.77639,1.74648,1.77639,1026.7106496412
